uid,time,action
118274,1705115489,3
129092,1705138800,1
129347,1705169831,3
103004,1705140619,3
100973,1705104474,1
110911,1705133557,1
119951,1705107096,3
124993,1705154220,3
103059,1705156990,2
121006,1705153914,2
112470,1705159054,3
103968,1705149173,2
100191,1705121285,1
100906,1705144266,3
113980,1705186929,3
107687,1705139351,2
116381,1705129973,3
127173,1705132083,1
121605,1705168896,1
106253,1705128371,1
115033,1705161261,2
126021,1705116378,2
101083,1705148928,3
122116,1705147060,3
114303,1705143279,3
118158,1705106513,1
110097,1705118757,2
104955,1705151211,3
123184,1705171293,2
121357,1705145230,2
128367,1705154740,3
114768,1705154693,3
104491,1705181837,1
105643,1705169785,3
126211,1705137490,2
113417,1705168355,3
109404,1705140676,1
116443,1705181286,2
120347,1705135884,3
121195,1705184611,1
122729,1705131512,1
114061,1705105818,2
121037,1705175415,2
119155,1705181445,1
123521,1705174771,2
121382,1705172196,3
102360,1705150007,1
124144,1705128488,1
112696,1705179972,1
107599,1705185040,2
123044,1705179471,2
124065,1705140319,3
115587,1705147344,1
121518,1705142752,2
109843,1705115372,3
129435,1705158651,2
109048,1705122527,3
110434,1705156851,1
100925,1705137731,1
108796,1705125505,3
122611,1705130272,1
126737,1705183660,1
112109,1705127070,3
115037,1705152574,3
119747,1705108448,3
101973,1705146310,3
108468,1705156622,2
119566,1705172843,1
107971,1705111559,3
117640,1705162835,2
119904,1705158188,3
129982,1705127136,3
114825,1705106797,1
121432,1705110596,1
125732,1705187893,2
113593,1705126806,3
106422,1705178187,2
110688,1705132768,3
126216,1705157393,3
119406,1705126683,2
112170,1705163943,1
117374,1705175068,2
128658,1705137896,3
121121,1705147882,2
127381,1705119893,3
114700,1705163341,1
121309,1705131995,1
112585,1705124628,1
105919,1705117185,3
116991,1705140211,2
114504,1705182680,3
112683,1705143053,2
121274,1705150047,2
105742,1705181133,2
127646,1705176620,2
121751,1705151631,3
118550,1705120076,1
120230,1705139849,1
100734,1705163414,2
106436,1705124362,2
112697,1705158385,2
117506,1705186375,2
104615,1705163198,3
122612,1705123055,1
102766,1705129518,1
120131,1705156186,1
117979,1705143567,1
109785,1705158807,2
102822,1705109643,2
113537,1705173917,3
103432,1705176434,2
104291,1705124008,1
105257,1705139917,1
123985,1705150253,1
114602,1705162610,3
109120,1705127442,2
122038,1705155879,3
114812,1705168282,3
101405,1705187168,1
105126,1705110762,2
114929,1705184303,3
116881,1705104651,3
117347,1705148096,3
104689,1705189084,1
114582,1705169647,1
117460,1705186856,1
123114,1705117081,2
111200,1705165661,2
107788,1705118072,3
116013,1705108892,2
117787,1705108514,1
100456,1705177442,3
112455,1705156347,3
109270,1705132590,3
109564,1705143595,3
125311,1705106031,2
109984,1705143380,3
125812,1705130663,2
112464,1705158795,2
116523,1705122320,3
100927,1705180326,2
113949,1705153602,3
