uid,time,action
113598,1704522336,3
116314,1704577128,3
117370,1704508705,2
121602,1704543708,1
114437,1704569100,3
121449,1704503927,3
114675,1704520607,2
103794,1704507672,1
110256,1704574014,1
104447,1704519068,1
120941,1704580837,2
114117,1704565087,3
111272,1704574325,2
128136,1704562359,3
117800,1704541496,3
125035,1704553563,1
127714,1704567698,2
126531,1704511260,3
121448,1704525124,2
109017,1704553335,1
101483,1704545092,1
124981,1704568499,1
116886,1704501923,2
109068,1704526884,1
108459,1704519314,2
106275,1704520935,1
112965,1704572101,1
100456,1704500527,1
123936,1704551025,2
125158,1704535419,3
127210,1704528831,3
120639,1704548484,1
119143,1704580671,3
114249,1704573245,3
121764,1704505297,3
113566,1704527496,2
100583,1704531970,3
119563,1704561210,2
116942,1704539655,1
103473,1704564084,1
129674,1704546852,3
108463,1704565414,1
121987,1704518748,3
105284,1704519029,2
108251,1704560612,2
112301,1704565288,1
120712,1704572213,3
117381,1704556564,3
119295,1704508359,2
108988,1704575187,3
129578,1704507044,2
108736,1704544068,2
121918,1704574323,2
122876,1704504271,1
114916,1704552650,1
116591,1704557488,2
104191,1704541849,3
110738,1704509634,1
108943,1704540735,2
119707,1704532014,2
112807,1704512988,2
109078,1704503232,2
129108,1704532040,1
104457,1704561280,3
101707,1704549609,1
124077,1704555463,2
104301,1704525819,2
108843,1704570320,2
116691,1704553615,1
117248,1704566473,3
100623,1704574934,2
127044,1704550978,2
129326,1704528908,3
109336,1704523843,2
110584,1704503800,2
102872,1704565493,1
101989,1704574728,3
109422,1704529403,3
104644,1704536922,1
102154,1704519870,2
128821,1704532451,1
117843,1704578563,1
114319,1704536280,3
128306,1704558623,2
102399,1704566033,3
104768,1704568455,2
115856,1704564242,3
108327,1704552303,2
102829,1704570395,2
122629,1704576221,3
106360,1704512390,1
103615,1704545467,3
116546,1704573800,2
101101,1704511755,2
121278,1704536381,2
119530,1704533557,3
125993,1704527416,1
103326,1704543034,3
110367,1704503466,3
110581,1704517723,1
107020,1704528428,1
107363,1704556895,2
102287,1704574227,1
122398,1704566202,1
113648,1704580853,1
129416,1704542510,2
105250,1704555012,2
125904,1704565304,2
116696,1704538256,1
118454,1704559402,2
110960,1704543070,3
100538,1704555454,2
101214,1704543611,2
118998,1704559849,2
112825,1704572491,2
108119,1704524117,1
120460,1704504065,2
116534,1704540231,1
125986,1704519106,3
104759,1704502625,1
105129,1704501385,2
112207,1704556695,3
107843,1704540408,2
127124,1704557110,1
102966,1704526100,3
118515,1704569187,3
123631,1704539687,3
123187,1704541236,3
129211,1704500916,2
102353,1704518981,1
124774,1704546664,2
120943,1704522206,2
126629,1704571558,3
123656,1704540742,2
128311,1704525307,2
127095,1704510667,2
127626,1704549917,2
113542,1704581654,3
123409,1704553446,2
115441,1704536242,2
117556,1704555382,1
109933,1704535764,3
126357,1704528897,2
112731,1704574899,1
109388,1704527032,1
106651,1704577742,1
110952,1704582753,2
111584,1704534792,1
110706,1704517325,3
121411,1704521177,1
125511,1704580605,1
105646,1704509765,2
112462,1704570930,1
102684,1704567968,1
112063,1704503206,1
129067,1704554493,1
116578,1704545994,1
128865,1704563829,3
125607,1704532373,3
128202,1704532847,1
119965,1704548189,3
123954,1704585210,2
122347,1704520318,2
129893,1704513579,3
123830,1704546639,3
104024,1704556935,2
129841,1704510682,2
103163,1704557452,2
117008,1704555250,2
118466,1704548463,3
100565,1704569143,3
101199,1704501764,1
123088,1704558014,3
104886,1704549868,3
113185,1704543405,1
101918,1704538931,2
103803,1704548031,2
102959,1704578210,3
128852,1704520395,3
102150,1704520456,2
105849,1704503746,3
123229,1704534244,1
120974,1704503727,3
126593,1704508795,3
105176,1704524132,3
102332,1704530855,2
118264,1704569540,1
125577,1704521202,2
117208,1704531399,3
107052,1704514196,1
126243,1704581145,2
104540,1704501229,1
111624,1704572843,1
113580,1704518912,1
115241,1704511261,1
118907,1704578374,2
128892,1704528353,2
104679,1704519938,3
117509,1704553470,2
120955,1704517384,2
117447,1704531085,1
126464,1704548299,2
119650,1704583823,2
115667,1704558814,1
101150,1704560314,3
127601,1704563184,2
103999,1704535763,1
118490,1704573819,3
103812,1704505954,3
123891,1704550515,2
117841,1704515519,2
127105,1704510822,2
122607,1704502424,2
127342,1704580343,1
110251,1704531355,3
115039,1704522546,1
100273,1704510150,2
116766,1704559652,2
128741,1704578561,1
119546,1704571661,2
113016,1704558287,1
107551,1704552694,2
115725,1704574663,3
124204,1704534888,3
104599,1704567719,3
116487,1704569427,3
106661,1704546534,3
104802,1704578242,2
116049,1704566424,2
120223,1704558984,2
115672,1704559492,3
118982,1704570990,2
113592,1704571254,1
112421,1704574124,3
123634,1704583361,2
113700,1704534779,1
112432,1704534927,1
120260,1704525339,3
112240,1704553829,3
122159,1704523481,2
117799,1704524789,1
123602,1704518707,3
120325,1704522337,1
101722,1704501140,1
129126,1704511844,2
124107,1704520809,2
102112,1704518983,2
109561,1704512528,1
125468,1704556149,3
120035,1704502261,3
117252,1704572646,2
109148,1704513805,1
128805,1704535802,3
106974,1704513243,2
113815,1704542604,3
113124,1704530159,1
114365,1704517821,1
128271,1704532856,1
100081,1704560279,1
102329,1704537953,3
129825,1704510177,1
126166,1704531252,2
127810,1704507676,2
129385,1704577221,2
126145,1704542531,3
113156,1704531070,3
114053,1704546810,1
110070,1704512072,1
121661,1704524830,2
126034,1704571995,2
128766,1704550294,2
110324,1704570548,2
114881,1704520601,3
125529,1704580535,2
112896,1704555197,1
104096,1704568727,2
121845,1704535460,1
126124,1704519887,2
125928,1704531762,2
111928,1704509241,1
124282,1704517099,3
120804,1704534024,1
108407,1704555804,1
116475,1704559008,3
107416,1704544363,3
106389,1704578680,3
129725,1704539506,3
109054,1704570484,1
122721,1704510468,1
106156,1704540241,1
119312,1704531270,2
112357,1704503362,3
118210,1704585296,2
114214,1704548792,1
106468,1704544967,2
122504,1704563449,2
115601,1704584156,3
106801,1704525773,1
129469,1704511238,2
116202,1704526760,1
125393,1704529552,2
106452,1704574343,1
118660,1704506824,2
121404,1704511022,3
122530,1704549479,1
112633,1704534999,2
106839,1704571997,3
126253,1704551102,3
126639,1704516426,3
124894,1704554741,1
100778,1704556821,3
121456,1704543795,2
109257,1704502980,1
120059,1704562305,1
111252,1704560215,2
112697,1704524400,2
118815,1704500338,3
128106,1704583208,3
120727,1704572588,3
127748,1704508314,1
107126,1704585379,2
101495,1704527491,3
100021,1704504914,1
127799,1704503573,2
106882,1704574404,3
124308,1704535470,1
124662,1704583908,2
115875,1704536911,2
117222,1704555951,1
104515,1704531034,1
114130,1704542361,3
112460,1704511886,1
113637,1704549551,3
106765,1704512686,3
129511,1704554074,1
125179,1704523516,2
125379,1704527796,2
111284,1704577308,2
123351,1704574010,3
126856,1704562106,3
121822,1704573635,1
125919,1704527455,3
108216,1704554262,3
126407,1704501082,2
102127,1704563260,3
104909,1704527430,2
108870,1704540341,1
126478,1704570907,2
118760,1704562719,1
100879,1704553616,3
116911,1704561362,1
125116,1704514262,3
121011,1704530041,2
120869,1704546337,2
118148,1704538675,2
109650,1704535052,2
107346,1704516886,2
104459,1704584132,1
123827,1704546171,2
115575,1704544112,1
125430,1704504997,3
125259,1704512021,3
106634,1704556649,2
129294,1704502900,1
125310,1704523687,2
116280,1704555052,3
108602,1704501835,1
111529,1704532710,3
102629,1704575878,3
100793,1704581867,3
114609,1704500734,1
106529,1704577901,2
126321,1704525020,1
107243,1704555140,1
103194,1704569739,2
112296,1704566860,3
105144,1704509668,3
101062,1704572128,3
110834,1704539144,1
102973,1704544389,3
110577,1704521653,3
105514,1704578273,1
127690,1704508047,2
111912,1704516627,2
120001,1704547317,1
127316,1704529662,3
105286,1704502005,2
123554,1704529534,2
115543,1704534143,3
108284,1704501341,2
107736,1704509434,1
100071,1704549039,2
126058,1704543126,3
107558,1704505925,1
108595,1704576898,2
100456,1704579360,2
118903,1704533777,2
100857,1704526614,3
102131,1704543688,1
127564,1704572022,3
110007,1704550173,1
124204,1704559072,2
117291,1704506461,2
121794,1704580319,2
118069,1704551242,2
126380,1704539454,2
122989,1704506243,2
111913,1704521656,3
108277,1704556490,1
103460,1704548783,1
108050,1704533995,2
126676,1704554023,1
126962,1704581414,3
124881,1704575129,3
124192,1704582529,2
113643,1704581211,1
126713,1704524821,2
123867,1704579888,3
113807,1704552668,3
123987,1704501250,3
124526,1704521320,2
112312,1704522292,3
111100,1704535964,3
103343,1704531707,3
123773,1704528702,3
110431,1704505451,3
110705,1704559232,3
121902,1704574635,3
110860,1704534821,1
111672,1704573947,1
124667,1704523677,2
107293,1704509607,2
112746,1704563488,2
113867,1704578772,3
127279,1704539439,1
123466,1704543912,3
103797,1704532717,3
105243,1704580578,1
124294,1704584660,2
112809,1704534381,3
103504,1704568086,3
122819,1704568252,1
106972,1704535374,2
104055,1704558055,2
108981,1704566623,3
115690,1704520896,2
100213,1704543258,1
125945,1704504444,3
107766,1704525384,3
110265,1704524091,2
103782,1704544480,1
118812,1704531864,2
107379,1704564027,2
114004,1704513227,3
113211,1704573376,1
104487,1704511489,3
109757,1704508207,3
114785,1704539060,2
109537,1704546744,2
102631,1704517129,2
117421,1704584507,3
117963,1704508456,1
119499,1704525624,1
127407,1704557283,1
117855,1704522155,3
116719,1704575366,3
105114,1704524022,1
129645,1704513320,3
116886,1704576837,1
108714,1704536397,1
116086,1704556648,2
103928,1704530961,1
122934,1704580733,3
125660,1704531417,3
128440,1704526546,1
109699,1704575514,1
106000,1704534945,3
116985,1704544828,1
128826,1704499324,1
