uid,time,action
120638,1704150554,2
101550,1704068271,2
122365,1704082157,2
107556,1704152813,1
126627,1704075262,1
106262,1704097763,2
116374,1704119787,2
106814,1704096802,3
104181,1704112586,3
109624,1704124001,3
123222,1704153498,1
105705,1704147275,1
106638,1704131068,2
107077,1704085316,2
105224,1704104185,2
113247,1704122714,2
112501,1704091802,2
116881,1704085195,2
105674,1704134624,3
115888,1704073409,2
118712,1704111348,3
104794,1704137261,1
129699,1704108045,3
111472,1704132761,3
109739,1704068062,1
118332,1704089234,3
100289,1704089365,1
123817,1704071838,2
123365,1704070871,1
115128,1704069191,3
124804,1704151299,3
102304,1704115370,3
101292,1704129965,2
105574,1704098265,3
105117,1704106452,1
102900,1704079678,1
119839,1704145934,3
107732,1704099960,2
100281,1704076466,1
127362,1704139041,1
106582,1704094140,3
118368,1704100495,1
111474,1704138227,2
100618,1704120673,3
117080,1704086518,2
105970,1704095693,1
101311,1704148394,1
109764,1704067542,2
118155,1704093824,2
109321,1704124126,2
111217,1704133667,3
104338,1704083481,3
113201,1704109736,3
114491,1704141341,3
114335,1704096720,1
114792,1704147062,3
114555,1704141017,2
119725,1704070480,1
100451,1704091289,1
123890,1704107472,1
129882,1704139556,1
125311,1704101482,1
108865,1704085160,2
104257,1704068326,1
114989,1704084114,2
101696,1704143537,1
121433,1704105950,2
110090,1704132984,2
104759,1704068446,1
108801,1704092979,2
104171,1704137459,1
127594,1704136283,2
102318,1704077017,3
125258,1704071586,3
104084,1704121346,2
101522,1704092169,1
119742,1704107644,2
103872,1704146058,1
107736,1704077335,2
117752,1704078512,3
124289,1704147533,3
108100,1704144487,1
104803,1704103447,2
108328,1704135560,2
122169,1704115547,1
121528,1704094777,1
129602,1704074659,1
123686,1704139225,3
119004,1704076224,1
129505,1704127184,2
124704,1704096437,1
125839,1704087044,3
100469,1704087139,2
115241,1704104305,2
101841,1704110259,1
118268,1704098898,3
120928,1704067929,2
108975,1704134409,3
127255,1704139008,2
124425,1704140766,1
124940,1704085509,3
124305,1704094393,2
102612,1704121676,2
117212,1704109267,1
120998,1704085739,2
123942,1704074729,2
127033,1704144475,3
117091,1704067596,3
102089,1704098770,3
115833,1704114738,3
108907,1704150526,3
110120,1704081906,1
117854,1704133987,3
106454,1704150976,3
104458,1704074132,1
116648,1704151298,2
119805,1704145729,1
106854,1704143426,3
108246,1704140735,3
117325,1704096991,3
120726,1704143752,2
124512,1704144748,2
111428,1704137185,1
108748,1704101549,3
110756,1704103716,3
125764,1704146974,3
108218,1704138881,3
124838,1704120068,3
102290,1704153332,3
123527,1704148141,3
109767,1704122493,3
113478,1704108264,2
126871,1704083448,3
108142,1704132048,3
127773,1704140388,2
100058,1704091583,3
117182,1704095682,1
123198,1704101696,1
127166,1704114446,3
114322,1704132880,3
121759,1704111448,2
100143,1704114247,1
106074,1704140583,1
109788,1704143269,2
103077,1704101909,2
129813,1704111198,2
116346,1704095110,2
123697,1704143993,1
122774,1704073816,3
128132,1704103719,3
122677,1704130151,2
116319,1704132193,1
119693,1704107379,3
127929,1704125319,3
110086,1704107988,1
120977,1704085321,1
107515,1704095259,3
112882,1704136731,3
122753,1704124383,1
108919,1704083181,2
103102,1704112168,2
101334,1704072663,1
100761,1704109091,3
122680,1704113403,3
113054,1704148633,2
116632,1704106105,2
129283,1704071689,3
104639,1704069920,3
124276,1704114586,2
120683,1704107249,3
122187,1704120379,1
106910,1704087861,1
105787,1704126596,2
101817,1704078725,3
110543,1704129620,3
113723,1704087681,3
110284,1704119797,3
116734,1704139145,3
125994,1704137215,3
124240,1704092544,3
120723,1704147439,3
109462,1704108573,3
127892,1704127918,1
104922,1704135936,3
110371,1704092428,1
120414,1704105405,3
119923,1704136537,3
115202,1704097730,1
111777,1704078874,3
128263,1704096739,1
125498,1704137119,2
108802,1704089415,1
103225,1704139114,1
124331,1704085638,3
129692,1704086967,1
100704,1704116469,2
117471,1704118960,1
124504,1704145691,3
120653,1704079007,1
102002,1704140632,1
109150,1704088615,1
128954,1704068868,3
121752,1704147774,3
106201,1704074913,1
127602,1704100846,1
113779,1704070818,2
127369,1704117847,3
110759,1704153282,2
105792,1704104105,2
126887,1704083865,3
129248,1704081762,1
118579,1704150111,2
124488,1704144299,1
109651,1704104349,2
125562,1704103532,2
122396,1704150454,2
125005,1704074039,3
119018,1704139728,2
128368,1704142181,3
